open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1759276800000,319.408,319.408,319.408,319.408,0,1759280399999,0,0,0,0,0
1759280400000,319.408,319.408,319.408,319.408,0,1759283999999,0,0,0,0,0
1759284000000,319.408,319.408,319.408,319.408,0,1759287599999,0,0,0,0,0
1759287600000,319.408,319.408,319.408,319.408,0,1759291199999,0,0,0,0,0
1759291200000,319.408,319.408,319.408,319.408,0,1759294799999,0,0,0,0,0
1759294800000,319.408,319.408,319.408,319.408,0,1759298399999,0,0,0,0,0
1759298400000,319.408,319.408,319.408,319.408,0,1759301999999,0,0,0,0,0
1759302000000,319.408,319.408,319.408,319.408,0,1759305599999,0,0,0,0,0
1759305600000,319.408,319.408,319.408,319.408,0,1759309199999,0,0,0,0,0
1759309200000,319.408,319.408,319.408,319.408,0,1759312799999,0,0,0,0,0
1759312800000,319.408,319.408,319.408,319.408,0,1759316399999,0,0,0,0,0
1759316400000,319.408,319.408,319.408,319.408,0,1759319999999,0,0,0,0,0
1759320000000,319.408,319.408,319.408,319.408,0,1759323599999,0,0,0,0,0
1759323600000,319.408,319.408,319.408,319.408,0,1759327199999,0,0,0,0,0
1759327200000,319.408,319.408,319.408,319.408,0,1759330799999,0,0,0,0,0
1759330800000,319.408,319.408,319.408,319.408,0,1759334399999,0,0,0,0,0
1759334400000,319.408,319.408,319.408,319.408,0,1759337999999,0,0,0,0,0
1759338000000,319.408,319.408,319.408,319.408,0,1759341599999,0,0,0,0,0
1759341600000,319.408,319.408,319.408,319.408,0,1759345199999,0,0,0,0,0
1759345200000,319.408,319.408,319.408,319.408,0,1759348799999,0,0,0,0,0
1759348800000,319.408,319.408,319.408,319.408,0,1759352399999,0,0,0,0,0
1759352400000,319.408,319.408,319.408,319.408,0,1759355999999,0,0,0,0,0
1759356000000,319.408,319.408,319.408,319.408,0,1759359599999,0,0,0,0,0
1759359600000,319.408,319.408,319.408,319.408,0,1759363199999,0,0,0,0,0
1759363200000,319.408,319.408,319.408,319.408,0,1759366799999,0,0,0,0,0
1759366800000,319.408,319.408,319.408,319.408,0,1759370399999,0,0,0,0,0
1759370400000,319.408,319.408,319.408,319.408,0,1759373999999,0,0,0,0,0
